Algorytm,Poziom_trudnosci,Czas_ms,Odwiedzone_stany,Przetworzone_stany,Max_glebokosc
BFS,1,0.022,4,2,1
DFS,1,0.014,4,2,1
A* (Manh),1,0.038,4,2,1
A* (Hamm),1,0.019,4,2,1
BFS,1,0.009,4,2,1
DFS,1,0.008,4,2,1
A* (Manh),1,0.025,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.007,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.024,4,2,1
A* (Hamm),1,0.011,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.023,4,2,1
A* (Hamm),1,0.01,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.023,4,2,1
A* (Hamm),1,0.01,4,2,1
BFS,1,0.096,4,2,1
DFS,1,0.008,4,2,1
A* (Manh),1,0.024,4,2,1
A* (Hamm),1,0.011,4,2,1
BFS,1,0.007,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.024,4,2,1
A* (Hamm),1,0.01,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.023,4,2,1
A* (Hamm),1,0.01,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.023,4,2,1
A* (Hamm),1,0.01,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.023,4,2,1
A* (Hamm),1,0.01,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.011,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.023,4,2,1
A* (Hamm),1,0.01,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.005,4,2,1
A* (Manh),1,0.023,4,2,1
A* (Hamm),1,0.01,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.005,4,2,1
A* (Manh),1,0.023,4,2,1
A* (Hamm),1,0.01,4,2,1
BFS,1,0.006,4,2,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.023,4,2,1
