Algorytm;Poziom_trudnosci;Czas_ms;Odwiedzone_stany;Przetworzone_stany;Max_glebokosc
BFS;1;0.034;9;4;1
DFS;1;9250.977;4216280;4216280;20
A* (Manh);1;0.058;4;2;1
A* (Hamm);1;0.021;4;2;1
BFS;1;0.022;9;4;1
DFS;1;9112.965;4224796;4224796;20
A* (Manh);1;0.043;4;2;1
A* (Hamm);1;0.016;4;2;1
BFS;1;0.02;9;4;1
DFS;1;9054.226;4216280;4216280;20
A* (Manh);1;0.118;4;2;1
A* (Hamm);1;0.018;4;2;1
BFS;1;0.02;9;4;1
DFS;1;8875.284;4216280;4216280;20
A* (Manh);1;0.043;4;2;1
A* (Hamm);1;0.016;4;2;1
BFS;1;0.021;9;4;1
DFS;1;9132.465;4224796;4224796;20
A* (Manh);1;0.045;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.021;9;4;1
DFS;1;9168.879;4224796;4224796;20
A* (Manh);1;0.044;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.02;9;4;1
DFS;1;9170.836;4216280;4216280;20
A* (Manh);1;0.044;4;2;1
A* (Hamm);1;0.016;4;2;1
BFS;1;0.021;9;4;1
DFS;1;9230.031;4216280;4216280;20
A* (Manh);1;0.045;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.021;9;4;1
DFS;1;8998.728;4216280;4216280;20
A* (Manh);1;0.044;4;2;1
A* (Hamm);1;0.016;4;2;1
BFS;1;0.02;9;4;1
DFS;1;9360.437;4216280;4216280;20
A* (Manh);1;0.042;4;2;1
A* (Hamm);1;0.016;4;2;1
BFS;1;0.02;9;4;1
DFS;1;9104.841;4224796;4224796;20
A* (Manh);1;0.044;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.021;9;4;1
DFS;1;8918.017;4216280;4216280;20
A* (Manh);1;0.055;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.02;9;4;1
DFS;1;8931.318;4216280;4216280;20
A* (Manh);1;0.045;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.021;9;4;1
DFS;1;9280.344;4224796;4224796;20
A* (Manh);1;0.044;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.021;9;4;1
DFS;1;8961.431;4224796;4224796;20
A* (Manh);1;0.045;4;2;1
A* (Hamm);1;0.018;4;2;1
BFS;1;0.021;9;4;1
DFS;1;8988.417;4216280;4216280;20
A* (Manh);1;0.043;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.02;9;4;1
DFS;1;9061.331;4216280;4216280;20
A* (Manh);1;0.045;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.022;9;4;1
DFS;1;9057.706;4216280;4216280;20
A* (Manh);1;0.044;4;2;1
A* (Hamm);1;0.016;4;2;1
BFS;1;0.021;9;4;1
DFS;1;9073.492;4224796;4224796;20
A* (Manh);1;0.045;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.02;9;4;1
DFS;1;9308.036;4216280;4216280;20
A* (Manh);1;0.045;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.02;9;4;1
DFS;1;9007.119;4216280;4216280;20
A* (Manh);1;0.042;4;2;1
A* (Hamm);1;0.016;4;2;1
BFS;1;0.02;9;4;1
DFS;1;8972.37;4216280;4216280;20
A* (Manh);1;0.045;4;2;1
A* (Hamm);1;0.017;4;2;1
BFS;1;0.021;9;4;1
DFS;1;9291.932;4224796;4224796;20
A* (Manh);1;0.045;4;2;1
A* (Hamm);1;0.017;4;2;1
