Algorytm,Poziom_trudnosci,Czas_ms,Odwiedzone_stany,Przetworzone_stany,Max_glebokosc
BFS,1,0.033,9,4,1
DFS,1,9010.625,4227410,4227410,20
A* (Manh),1,0.058,4,2,1
A* (Hamm),1,0.02,4,2,1
BFS,1,0.021,9,4,1
DFS,1,8912.659,4218340,4218340,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8767.201,4227410,4227410,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.019,9,4,1
DFS,1,8891.586,4227410,4227410,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8932.849,4218340,4218340,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8744.207,4227410,4227410,20
A* (Manh),1,0.045,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,8759.061,4227410,4227410,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9092.958,4227410,4227410,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8722.255,4227410,4227410,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8682.888,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,8850.224,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.022,9,4,1
DFS,1,8879.363,4218340,4218340,20
A* (Manh),1,0.045,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,8831.485,4227410,4227410,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8987.503,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.021,9,4,1
DFS,1,8940.648,4227410,4227410,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8824.347,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8937.208,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.021,9,4,1
DFS,1,8710.04,4218340,4218340,20
A* (Manh),1,0.041,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8868.543,4227410,4227410,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8918.323,4218340,4218340,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.018,4,2,1
BFS,1,0.021,9,4,1
DFS,1,8695.203,4227410,4227410,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8724.638,4218340,4218340,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.023,9,4,1
DFS,1,9038.452,4218340,4218340,20
A* (Manh),1,0.041,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8718.945,4218340,4218340,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.022,9,4,1
DFS,1,9000.104,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.02,9,4,1
DFS,1,9055.834,4227410,4227410,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8860.811,4227410,4227410,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9922.503,4227410,4227410,20
A* (Manh),1,0.047,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9349.265,4218340,4218340,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9201.391,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9115.262,4227410,4227410,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,8896.534,4227410,4227410,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.019,9,4,1
DFS,1,8810.331,4218340,4218340,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8820.469,4227410,4227410,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9061.674,4227410,4227410,20
A* (Manh),1,0.045,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.022,9,4,1
