Algorytm,Poziom_trudnosci,Czas_ms,Odwiedzone_stany,Przetworzone_stany,Max_glebokosc
BFS,1,0.033,9,4,1
DFS,1,8963.087,4227410,4227410,20
A* (Manh),1,0.057,4,2,1
A* (Hamm),1,0.02,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9135.702,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8771.187,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,8826.364,4227410,4227410,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,10823.215,4227410,4227410,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,10148.089,4218340,4218340,20
A* (Manh),1,0.045,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.022,9,4,1
DFS,1,9752.821,4218340,4218340,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,10054.899,4227410,4227410,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9510.323,4227410,4227410,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9749.747,4218340,4218340,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.022,9,4,1
DFS,1,9963.64,4227410,4227410,20
A* (Manh),1,0.045,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.023,9,4,1
DFS,1,9569.961,4227410,4227410,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9656.458,4227410,4227410,20
A* (Manh),1,0.057,4,2,1
A* (Hamm),1,0.02,4,2,1
BFS,1,0.025,9,4,1
