Algorytm,Poziom_trudnosci,Czas_ms,Odwiedzone_stany,Przetworzone_stany,Max_glebokosc
BFS,1,0.034,9,4,1
DFS,1,9505.134,4216280,4216280,20
A* (Manh),1,0.338,4,2,1
A* (Hamm),1,0.023,4,2,1
BFS,1,0.026,9,4,1
DFS,1,9534.665,4224796,4224796,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,9307.007,4216280,4216280,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.022,9,4,1
DFS,1,9697.083,4216280,4216280,20
A* (Manh),1,0.05,4,2,1
A* (Hamm),1,0.019,4,2,1
BFS,1,0.026,9,4,1
DFS,1,9426.511,4216280,4216280,20
A* (Manh),1,0.046,4,2,1
A* (Hamm),1,0.018,4,2,1
BFS,1,0.025,9,4,1
DFS,1,9542.019,4216280,4216280,20
A* (Manh),1,0.046,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.022,9,4,1
DFS,1,9261.284,4216280,4216280,20
A* (Manh),1,0.046,4,2,1
A* (Hamm),1,0.018,4,2,1
BFS,1,0.024,9,4,1
DFS,1,9358.46,4216280,4216280,20
A* (Manh),1,0.045,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.022,9,4,1
DFS,1,9541.191,4224796,4224796,20
A* (Manh),1,0.041,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9315.517,4216280,4216280,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9659.753,4216280,4216280,20
A* (Manh),1,0.046,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.024,9,4,1
DFS,1,9176.832,4216280,4216280,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9352.632,4224796,4224796,20
A* (Manh),1,0.045,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.022,9,4,1
DFS,1,9363.787,4216280,4216280,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.019,9,4,1
DFS,1,12447.976,4216280,4216280,20
A* (Manh),1,0.064,4,2,1
A* (Hamm),1,0.024,4,2,1
BFS,1,0.031,9,4,1
DFS,1,9913.253,4216280,4216280,20
A* (Manh),1,0.045,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.022,9,4,1
DFS,1,9195.646,4224796,4224796,20
A* (Manh),1,0.042,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.022,9,4,1
DFS,1,8686.22,4216280,4216280,20
A* (Manh),1,0.045,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.022,9,4,1
DFS,1,8658.0,4224796,4224796,20
A* (Manh),1,0.041,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.02,9,4,1
DFS,1,10392.755,4224796,4224796,20
A* (Manh),1,0.043,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9435.173,4216280,4216280,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.022,9,4,1
DFS,1,9555.362,4216280,4216280,20
A* (Manh),1,0.047,4,2,1
A* (Hamm),1,0.018,4,2,1
BFS,1,0.023,9,4,1
DFS,1,9790.824,4216280,4216280,20
A* (Manh),1,0.044,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.021,9,4,1
DFS,1,9472.883,4216280,4216280,20
A* (Manh),1,0.047,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.023,9,4,1
