Algorytm,Poziom_trudnosci,Czas_ms,Odwiedzone_stany,Przetworzone_stany,Max_glebokosc
BFS,1,0.046,2,1,1
DFS,1,0.022,4,2,1
A* (Manh),1,0.06,4,2,1
A* (Hamm),1,0.021,4,2,1
BFS,1,0.009,2,1,1
DFS,1,0.012,4,2,1
A* (Manh),1,0.03,4,2,1
A* (Hamm),1,0.014,4,2,1
BFS,1,0.007,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.028,4,2,1
A* (Hamm),1,0.013,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.028,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.035,4,2,1
BFS,1,0.022,2,1,1
DFS,1,0.009,4,2,1
A* (Manh),1,0.048,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.005,2,1,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.028,4,2,1
A* (Hamm),1,0.013,4,2,1
BFS,1,0.007,2,1,1
DFS,1,0.011,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.006,4,2,1
A* (Manh),1,0.027,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.006,4,2,1
